TongCount=34, MemberCount=54, UnionCount=0
TongName	MasterName	TongLevel	TongExp	SelfCamp	AllMemberCount	DirectorCount	ManagerCount	MemberCount	BuildLevel	MoneyFund	BuildFund	WarBuildFund	MaintainFund	StoredOffer	StoredBuildFund	UnionNum	UnionName	IsUnionLeader	UnionCamp
HáaÙLong	HáaÙLongÙTµÙNh©n	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
MinhGiao	HoaiLang	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
DEPÙBLH	DCPÙTL	0	0	2	11	1	2	7	0	0	0	0	0	0	0	0		0	0
V«ÙDanh	§¹tÙNÖn	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
luongson	testgame	8	72240	2	1	0	0	0	0	995000	0	0	0	0	0	0		0	0
MétÙThêi	HoaÙDiÙCungÙChñ	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
§ÖNhÊt	ChäcChäc	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0
ewtrwtwe	fasfaffaew	6	46320	3	1	0	0	0	0	108181111	0	0	0	0	0	0		0	0
Warrior	B¹ch§Þnh	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
T×nh	QuûÙLÖÙSÇu	5	31080	1	2	1	0	0	0	453250455	0	0	0	0	0	0		0	0
TEST	TESTGAMES	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
KING	NMxHide	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
KimÙ	CuÙChÜÙNg­äc	7	55320	3	1	0	0	0	0	998177239	2240	0	0	22400	0	0		0	0
Trau	SonLinnh	5	34920	1	1	0	0	0	0	203685185	1111	0	0	0	0	0		0	0
ChoiDi	rayleigh	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
MinhXD	VuVuVnn	7	55440	3	2	1	0	0	0	9639972846	0	67183	0	22330	0	0		0	0
Laladu	ZzCuxizZ	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
HHBang	SangTpXXX	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
TestHoi	TestChoi	7	58800	3	9	2	0	6	0	4254113109	0	0	0	0	0	0		0	0
Chien	SangTp4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
Ahihi	axxxxxxx	4	16680	1	1	0	0	0	0	1221527221	0	0	0	0	0	0		0	0
V×Sao	JohnniSon	8	70080	1	1	0	0	0	0	552635555	0	0	0	0	0	0		0	0
admin	testgame2	8	69120	1	1	0	0	0	0	105236111	0	0	0	0	0	0		0	0
TèngÙ	Anyonie	7	56640	1	1	0	0	0	0	312053441	0	0	0	0	0	0		0	0
ThiªnH¹	T©nKhócSÇu	6	43080	1	1	0	0	0	0	98205000	0	0	0	0	0	0		0	0
SKIES	Shazam	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0
Slock	SlockÙLife	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0
102	o0oVmTo0o	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0		0	0
L¸o	L¸oÙTõÙNhá	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
VIP	TOPTONGKIM	1	2880	2	1	0	0	0	0	67751548	0	0	0	0	0	0		0	0
MaGiao	RuouQuenSau	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		0	0
ThèngÙ	ÙCuÙChÜÙNg­îcÙ	0	120	3	1	0	0	0	0	995000	2240	0	0	22400	0	0		0	0
qwerqwr	testgame3	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
HæÙB¸o	§¶ÙCÇuÙBæng	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0		0	0
